name,mainaddressline,postcode,areaname2,areaname1,annual_sales,geometry
CARREFOUR EXPRESS CEPSA LUSITANIA,AVENIDA DE LOS POBLADOS,28025,MADRID,COMUNIDAD DE MADRID,14.558362246992044,POINT (-3.725605600000001 40.3730163)
CARREFOUR EXPRESS MAIQUEZ,CALLE DE MAIQUEZ 44,28009,MADRID,COMUNIDAD DE MADRID,24.151032366187135,POINT (-3.6732646 40.4178185)
CARREFOUR EXPRESS ANTONIO LÓPEZ 3,CALLE DE ANTONIO LÓPEZ 37,28019,MADRID,COMUNIDAD DE MADRID,19.804200981739726,POINT (-3.7117756 40.3960585)
CARREFOUR EXPRESS EUROPA,AVENIDA DE EUROPA,28023,MADRID,COMUNIDAD DE MADRID,15.170177581184483,POINT (-3.788063 40.445659)
CARREFOUR EXPRESS VÍCTOR DE LA SERNA,CALLE DE VÍCTOR DE LA SERNA 39,28016,MADRID,COMUNIDAD DE MADRID,22.777908606040416,POINT (-3.6722133 40.45724110000001)
CARREFOUR EXPRESS RAMONET,CALLE DE AÑASTRO 14,28033,MADRID,COMUNIDAD DE MADRID,18.52077880300589,POINT (-3.663056 40.468642)
CARREFOUR EXPRESS MONTESA,CALLE DE MONTESA 13,28006,MADRID,COMUNIDAD DE MADRID,26.758832978443074,POINT (-3.672436 40.42775)
CARREFOUR EXPRESS ARTURO SORIA,CALLE DE ARTURO SORIA 330,28033,MADRID,COMUNIDAD DE MADRID,15.984743832415486,POINT (-3.666519 40.480178)
CARREFOUR EXPRESS MANUEL BECERRA 4,PLAZA DE MANUEL BECERRA 15,28028,MADRID,COMUNIDAD DE MADRID,29.983596370471155,POINT (-3.6678629 40.4278505)
CARREFOUR EXPRESS DUQUE DE SESTO,CALLE DEL DUQUE DE SESTO 28,28009,MADRID,COMUNIDAD DE MADRID,25.586798797467857,POINT (-3.676759 40.422473)
CARREFOUR EXPRESS MAGALLANES,CALLE DE MAGALLANES 15,28015,MADRID,COMUNIDAD DE MADRID,19.794070646552747,POINT (-3.705777 40.434606)
CARREFOUR EXPRESS CEPSA SALVADOR MAELLA,CALLE DE LAS ISLAS BAHAMAS,28035,MADRID,COMUNIDAD DE MADRID,26.096311632336896,POINT (-3.7221593 40.4760865)
